year,permanent_visas,temporary_visas,nz_citizens,aus_citizens
2004-05,81210,141300,37330,69260
2005-06,89110,161590,38760,72610
2006-07,96190,205580,44420,75300
2007-08,98110,263760,51680,75830
2008-09,99040,279180,46890,80440
2009-10,90640,211560,38630,78870
2010-11,80300,202570,53610,78870
2011-12,87690,225590,61070,76070
2012-13,86760,244060,54120,77100
2013-14,94350,253160,37770,72180
2014-15,91490,262930,31750,71680
2015-16,90590,281760,33700,75800
2016-17,106200,314820,32330,79280
2017-18,87910,327300,30380,77160
2018-19,85390,350670,30540,78900
2019-20,70890,313660,22220,96410
2020-21,36950,29580,16950,61370
2021-22,71100,266210,24120,62480
2022-23,80390,556620,42660,58750
2023-24,90930,457920,51680,60840
2024-25,88210,363090,53020,64060
